
=== joint_distill_mse_high ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --single_recon_weight 1.5 --distill_mode mse --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_w1p5_20260404_233618/vtmae_joint_distill_mse_w1p5_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_w1p5_20260404_233618/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=mse single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.5 distill=1.0
[4700/50000] total=0.0126 ema=0.0163 full=0.0042 single=0.0056 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0068 full_v1=0.0018 full_v2=0.0041 single_by_cam[cam0=0.0052 cam1=0.0060 cam2=0.0056] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4800/50000] total=0.0191 ema=0.0164 full=0.0063 single=0.0085 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0127 full_v1=0.0019 full_v2=0.0043 single_by_cam[cam0=0.0075 cam1=0.0092 cam2=0.0088] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4900/50000] total=0.0146 ema=0.0162 full=0.0049 single=0.0064 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0066 full_v1=0.0027 full_v2=0.0054 single_by_cam[cam0=0.0061 cam1=0.0068 cam2=0.0064] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5000/50000] total=0.0218 ema=0.0167 full=0.0072 single=0.0098 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0135 full_v1=0.0032 full_v2=0.0048 single_by_cam[cam0=0.0087 cam1=0.0104 cam2=0.0101] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5100/50000] total=0.0179 ema=0.0166 full=0.0060 single=0.0079 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0117 full_v1=0.0019 full_v2=0.0044 single_by_cam[cam0=0.0070 cam1=0.0086 cam2=0.0082] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5200/50000] total=0.0116 ema=0.0160 full=0.0039 single=0.0051 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0061 full_v1=0.0018 full_v2=0.0037 single_by_cam[cam0=0.0048 cam1=0.0055 cam2=0.0052] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5300/50000] total=0.0152 ema=0.0162 full=0.0051 single=0.0067 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0058 full_v1=0.0030 full_v2=0.0063 single_by_cam[cam0=0.0066 cam1=0.0071 cam2=0.0065] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5400/50000] total=0.0163 ema=0.0163 full=0.0054 single=0.0072 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0105 full_v1=0.0017 full_v2=0.0039 single_by_cam[cam0=0.0063 cam1=0.0078 cam2=0.0075] distill_by_cam[cam0=0.0001 cam1=0.0002 cam2=0.0002]
[5500/50000] total=0.0147 ema=0.0160 full=0.0046 single=0.0067 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0081 full_v1=0.0019 full_v2=0.0040 single_by_cam[cam0=0.0055 cam1=0.0075 cam2=0.0071] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5600/50000] total=0.0161 ema=0.0159 full=0.0050 single=0.0073 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0082 full_v1=0.0027 full_v2=0.0042 single_by_cam[cam0=0.0062 cam1=0.0081 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5700/50000] total=0.0120 ema=0.0158 full=0.0040 single=0.0053 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0060 full_v1=0.0017 full_v2=0.0043 single_by_cam[cam0=0.0050 cam1=0.0057 cam2=0.0052] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5800/50000] total=0.0112 ema=0.0157 full=0.0036 single=0.0051 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0056 full_v1=0.0016 full_v2=0.0035 single_by_cam[cam0=0.0044 cam1=0.0056 cam2=0.0052] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5900/50000] total=0.0121 ema=0.0152 full=0.0039 single=0.0055 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0052 full_v1=0.0022 full_v2=0.0044 single_by_cam[cam0=0.0051 cam1=0.0059 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6000/50000] total=0.0118 ema=0.0145 full=0.0037 single=0.0054 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0047 full_v1=0.0021 full_v2=0.0043 single_by_cam[cam0=0.0048 cam1=0.0059 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6100/50000] total=0.0154 ema=0.0146 full=0.0046 single=0.0072 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0057 full_v1=0.0026 full_v2=0.0054 single_by_cam[cam0=0.0058 cam1=0.0082 cam2=0.0077] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6200/50000] total=0.0129 ema=0.0141 full=0.0036 single=0.0062 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0051 full_v1=0.0017 full_v2=0.0041 single_by_cam[cam0=0.0047 cam1=0.0071 cam2=0.0067] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6300/50000] total=0.0148 ema=0.0142 full=0.0047 single=0.0067 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0073 full_v1=0.0024 full_v2=0.0044 single_by_cam[cam0=0.0058 cam1=0.0073 cam2=0.0070] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6400/50000] total=0.0102 ema=0.0143 full=0.0030 single=0.0048 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0038 full_v1=0.0017 full_v2=0.0037 single_by_cam[cam0=0.0040 cam1=0.0053 cam2=0.0050] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6500/50000] total=0.0181 ema=0.0144 full=0.0053 single=0.0085 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0079 full_v1=0.0027 full_v2=0.0053 single_by_cam[cam0=0.0065 cam1=0.0097 cam2=0.0093] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6600/50000] total=0.0147 ema=0.0143 full=0.0040 single=0.0071 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0064 full_v1=0.0017 full_v2=0.0040 single_by_cam[cam0=0.0049 cam1=0.0083 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
