
=== joint_distill_mse ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --distill_mode mse --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/vtmae_joint_distill_mse_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_distill_mse_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=mse single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[4600/50000] total=0.0090 ema=0.0108 full=0.0036 single=0.0054 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0041 full_v1=0.0024 full_v2=0.0043 single_by_cam[cam0=0.0049 cam1=0.0059 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4700/50000] total=0.0085 ema=0.0106 full=0.0032 single=0.0052 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0039 full_v1=0.0018 full_v2=0.0041 single_by_cam[cam0=0.0042 cam1=0.0058 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4800/50000] total=0.0114 ema=0.0107 full=0.0036 single=0.0076 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0043 full_v1=0.0019 full_v2=0.0045 single_by_cam[cam0=0.0046 cam1=0.0093 cam2=0.0089] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[4900/50000] total=0.0105 ema=0.0108 full=0.0040 single=0.0062 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0039 full_v1=0.0028 full_v2=0.0054 single_by_cam[cam0=0.0053 cam1=0.0069 cam2=0.0065] distill_by_cam[cam0=0.0001 cam1=0.0004 cam2=0.0004]
[5000/50000] total=0.0149 ema=0.0111 full=0.0055 single=0.0093 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0083 full_v1=0.0032 full_v2=0.0049 single_by_cam[cam0=0.0072 cam1=0.0105 cam2=0.0102] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[5100/50000] total=0.0106 ema=0.0110 full=0.0032 single=0.0071 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0018 full_v2=0.0045 single_by_cam[cam0=0.0042 cam1=0.0087 cam2=0.0083] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
[5200/50000] total=0.0078 ema=0.0106 full=0.0030 single=0.0048 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0018 full_v2=0.0037 single_by_cam[cam0=0.0039 cam1=0.0053 cam2=0.0051] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5300/50000] total=0.0110 ema=0.0115 full=0.0044 single=0.0065 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0033 full_v2=0.0065 single_by_cam[cam0=0.0060 cam1=0.0071 cam2=0.0065] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5400/50000] total=0.0101 ema=0.0110 full=0.0033 single=0.0065 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0042 full_v1=0.0018 full_v2=0.0039 single_by_cam[cam0=0.0041 cam1=0.0079 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0005 cam2=0.0004]
[5500/50000] total=0.0097 ema=0.0108 full=0.0032 single=0.0062 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0038 full_v1=0.0019 full_v2=0.0040 single_by_cam[cam0=0.0041 cam1=0.0074 cam2=0.0070] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
