
=== joint_single_recon_up ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --env_name button-press-topdown-v3 --camera_names gripperPOV corner2 corner3 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --single_recon_weight 1.5 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_single_recon_w1p5_20260404_002915/vtmae_joint_single_recon_w1p5_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs2/joint_single_recon_w1p5_20260404_002915/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner2', 'corner3']
[JOINT-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.5 distill=1.0
[6000/50000] total=0.0112 ema=0.0133 full=0.0033 single=0.0053 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0035 full_v1=0.0021 full_v2=0.0043 single_by_cam[cam0=0.0044 cam1=0.0059 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6100/50000] total=0.0148 ema=0.0136 full=0.0038 single=0.0070 distill=0.0005 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0026 full_v2=0.0054 single_by_cam[cam0=0.0052 cam1=0.0082 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0007 cam2=0.0007]
[6200/50000] total=0.0120 ema=0.0132 full=0.0031 single=0.0059 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0036 full_v1=0.0017 full_v2=0.0040 single_by_cam[cam0=0.0041 cam1=0.0070 cam2=0.0066] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6300/50000] total=0.0141 ema=0.0133 full=0.0043 single=0.0065 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0060 full_v1=0.0024 full_v2=0.0043 single_by_cam[cam0=0.0053 cam1=0.0073 cam2=0.0069] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6400/50000] total=0.0097 ema=0.0134 full=0.0027 single=0.0046 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0029 full_v1=0.0017 full_v2=0.0036 single_by_cam[cam0=0.0036 cam1=0.0053 cam2=0.0050] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6500/50000] total=0.0171 ema=0.0135 full=0.0047 single=0.0082 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0062 full_v1=0.0027 full_v2=0.0052 single_by_cam[cam0=0.0059 cam1=0.0096 cam2=0.0092] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6600/50000] total=0.0133 ema=0.0135 full=0.0029 single=0.0067 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0031 full_v1=0.0017 full_v2=0.0040 single_by_cam[cam0=0.0038 cam1=0.0083 cam2=0.0080] distill_by_cam[cam0=0.0000 cam1=0.0005 cam2=0.0005]
[6700/50000] total=0.0124 ema=0.0160 full=0.0037 single=0.0058 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0036 full_v1=0.0025 full_v2=0.0049 single_by_cam[cam0=0.0049 cam1=0.0064 cam2=0.0060] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6800/50000] total=0.0194 ema=0.0145 full=0.0046 single=0.0096 distill=0.0004 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0060 full_v1=0.0028 full_v2=0.0050 single_by_cam[cam0=0.0061 cam1=0.0116 cam2=0.0112] distill_by_cam[cam0=0.0000 cam1=0.0006 cam2=0.0005]
[6900/50000] total=0.0155 ema=0.0140 full=0.0039 single=0.0076 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0024 full_v2=0.0058 single_by_cam[cam0=0.0054 cam1=0.0091 cam2=0.0085] distill_by_cam[cam0=0.0000 cam1=0.0002 cam2=0.0002]
[7000/50000] total=0.0110 ema=0.0134 full=0.0031 single=0.0052 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0029 full_v1=0.0021 full_v2=0.0044 single_by_cam[cam0=0.0042 cam1=0.0060 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[7100/50000] total=0.0168 ema=0.0134 full=0.0040 single=0.0084 distill=0.0003 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0035 full_v1=0.0026 full_v2=0.0058 single_by_cam[cam0=0.0053 cam1=0.0102 cam2=0.0097] distill_by_cam[cam0=0.0000 cam1=0.0004 cam2=0.0004]
