
=== curriculum ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --schedule default_3cam --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/vtmae_curriculum_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/curriculum_20260329_173506/previews
[VTMAE-3CAM] channels=9, views=3, size=(84,84)
[VTMAE-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] MultiViewVST total: 2,240,648 | trainable: 2,240,648
[Params] MultiViewVSMAE total: 4,860,244 | trainable: 4,860,244
[Params breakdown] encoder=2,240,648 decoder=2,367,488 heads=249,804
[4300/50000] phase=A total=0.0048 ema=0.0038 recon=0.0047 align=0.0011 v0=0.0064 v1=0.0034 v2=0.0033 visible=0.0042 cross=0.0004 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[4400/50000] phase=A total=0.0032 ema=0.0037 recon=0.0031 align=0.0003 v0=0.0048 v1=0.0023 v2=0.0017 visible=0.0029 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[4500/50000] phase=A total=0.0029 ema=0.0036 recon=0.0028 align=0.0012 v0=0.0029 v1=0.0030 v2=0.0019 visible=0.0025 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[4600/50000] phase=A total=0.0034 ema=0.0036 recon=0.0031 align=0.0025 v0=0.0035 v1=0.0029 v2=0.0023 visible=0.0028 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[4700/50000] phase=A total=0.0028 ema=0.0036 recon=0.0028 align=0.0007 v0=0.0032 v1=0.0029 v2=0.0018 visible=0.0026 cross=0.0002 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[4800/50000] phase=A total=0.0048 ema=0.0035 recon=0.0040 align=0.0073 v0=0.0045 v1=0.0029 v2=0.0019 visible=0.0027 cross=0.0011 patterns(t/s)=28/4 mask(v0/v1/v2)=0.75/0.75/0.75
[4900/50000] phase=A total=0.0034 ema=0.0035 recon=0.0034 align=0.0001 v0=0.0037 v1=0.0032 v2=0.0030 visible=0.0033 cross=0.0001 patterns(t/s)=31/1 mask(v0/v1/v2)=0.75/0.75/0.75
[5000/50000] phase=A total=0.0058 ema=0.0036 recon=0.0057 align=0.0011 v0=0.0082 v1=0.0032 v2=0.0031 visible=0.0047 cross=0.0009 patterns(t/s)=27/5 mask(v0/v1/v2)=0.75/0.75/0.75
[5100/50000] phase=A total=0.0037 ema=0.0037 recon=0.0032 align=0.0045 v0=0.0037 v1=0.0026 v2=0.0019 visible=0.0026 cross=0.0005 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
[5200/50000] phase=A total=0.0026 ema=0.0035 recon=0.0025 align=0.0008 v0=0.0028 v1=0.0023 v2=0.0019 visible=0.0023 cross=0.0002 patterns(t/s)=30/2 mask(v0/v1/v2)=0.75/0.75/0.75
