
=== joint ===
Command:
/home/medcvr/miniconda3/envs/vsmae/bin/python3.10 /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/pretrain_vtmae_joint_distill.py --camera_names gripperPOV corner corner2 --frame_stack 3 --action_repeat 2 --patch_size 6 --batch_size 32 --log_every 100 --save_every 1000 --vis_every 10000 --steps 50000 --out /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/vtmae_joint_distill_50000.pt --preview_dir /home/medcvr/Desktop/hamza/multicam-vit/MultiModalViT/seq_runs/joint_20260329_173506/previews
[JOINT-3CAM] channels=9, views=3, size=(84,84)
[JOINT-3CAM] cameras=['gripperPOV', 'corner', 'corner2']
[JOINT-3CAM] steps=50000 distill_mode=cosine single_recon=1 warmup=0
VT-MAE: Multi-view ViT patch tokeniser (3-view dynamic masking)
[Params] total=4,860,244 trainable=4,860,244
[Weights] full_recon=1.0 single_recon=1.0 distill=1.0
[4500/50000] total=0.0071 ema=0.0094 full=0.0028 single=0.0043 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0030 full_v1=0.0032 full_v2=0.0021 single_by_cam[cam0=0.0036 cam1=0.0046 cam2=0.0048] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4600/50000] total=0.0078 ema=0.0093 full=0.0030 single=0.0047 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0037 full_v1=0.0030 full_v2=0.0024 single_by_cam[cam0=0.0040 cam1=0.0050 cam2=0.0051] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[4700/50000] total=0.0078 ema=0.0092 full=0.0030 single=0.0048 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0041 full_v1=0.0031 full_v2=0.0018 single_by_cam[cam0=0.0037 cam1=0.0052 cam2=0.0055] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[4800/50000] total=0.0101 ema=0.0094 full=0.0030 single=0.0069 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0041 full_v1=0.0031 full_v2=0.0018 single_by_cam[cam0=0.0039 cam1=0.0082 cam2=0.0085] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[4900/50000] total=0.0087 ema=0.0093 full=0.0032 single=0.0054 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0038 full_v1=0.0031 full_v2=0.0028 single_by_cam[cam0=0.0042 cam1=0.0059 cam2=0.0060] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5000/50000] total=0.0137 ema=0.0095 full=0.0050 single=0.0086 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0085 full_v1=0.0033 full_v2=0.0032 single_by_cam[cam0=0.0063 cam1=0.0097 cam2=0.0097] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5100/50000] total=0.0090 ema=0.0095 full=0.0026 single=0.0062 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0032 full_v1=0.0027 full_v2=0.0017 single_by_cam[cam0=0.0033 cam1=0.0076 cam2=0.0078] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[5200/50000] total=0.0068 ema=0.0091 full=0.0025 single=0.0043 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0032 full_v1=0.0025 full_v2=0.0018 single_by_cam[cam0=0.0032 cam1=0.0047 cam2=0.0048] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5300/50000] total=0.0101 ema=0.0111 full=0.0040 single=0.0061 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0050 full_v2=0.0036 single_by_cam[cam0=0.0055 cam1=0.0063 cam2=0.0065] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5400/50000] total=0.0091 ema=0.0101 full=0.0028 single=0.0061 distill=0.0002 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0036 full_v1=0.0028 full_v2=0.0018 single_by_cam[cam0=0.0035 cam1=0.0073 cam2=0.0075] distill_by_cam[cam0=0.0000 cam1=0.0003 cam2=0.0003]
[5500/50000] total=0.0089 ema=0.0095 full=0.0030 single=0.0059 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0036 full_v1=0.0034 full_v2=0.0019 single_by_cam[cam0=0.0038 cam1=0.0068 cam2=0.0070] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5600/50000] total=0.0096 ema=0.0094 full=0.0033 single=0.0062 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0044 full_v1=0.0029 full_v2=0.0026 single_by_cam[cam0=0.0042 cam1=0.0072 cam2=0.0072] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[5700/50000] total=0.0075 ema=0.0094 full=0.0028 single=0.0047 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0033 full_v1=0.0035 full_v2=0.0016 single_by_cam[cam0=0.0037 cam1=0.0051 cam2=0.0053] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5800/50000] total=0.0066 ema=0.0094 full=0.0023 single=0.0043 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0029 full_v1=0.0024 full_v2=0.0016 single_by_cam[cam0=0.0030 cam1=0.0049 cam2=0.0050] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[5900/50000] total=0.0073 ema=0.0091 full=0.0027 single=0.0046 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0032 full_v1=0.0028 full_v2=0.0021 single_by_cam[cam0=0.0036 cam1=0.0051 cam2=0.0051] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6000/50000] total=0.0076 ema=0.0087 full=0.0029 single=0.0047 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0034 full_v1=0.0031 full_v2=0.0021 single_by_cam[cam0=0.0038 cam1=0.0051 cam2=0.0052] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
[6100/50000] total=0.0099 ema=0.0089 full=0.0034 single=0.0065 distill=0.0001 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0033 full_v1=0.0043 full_v2=0.0025 single_by_cam[cam0=0.0045 cam1=0.0073 cam2=0.0076] distill_by_cam[cam0=0.0000 cam1=0.0001 cam2=0.0001]
[6200/50000] total=0.0088 ema=0.0088 full=0.0030 single=0.0058 distill=0.0000 distill_scale=1.000 single_recon_enabled=1 full_v0=0.0037 full_v1=0.0037 full_v2=0.0017 single_by_cam[cam0=0.0040 cam1=0.0065 cam2=0.0068] distill_by_cam[cam0=0.0000 cam1=0.0000 cam2=0.0000]
